id,age,wp,SPA,y,a
6,58,1,60,28934.2808511274,22577.3790137205
6,59,1,60,28912.8959011682,21623.3887172351
6,60,1,60,34757.3417722982,20169.077280872
6,61,1,60,35276.4988369816,25095.1976971653
6,62,1,60,34454.9076497994,30253.2924661492
6,63,1,60,37712.4777644456,34501.0827943493
6,64,1,60,33833.8411181178,36238.2448565324
6,65,0,60,0,37073.1985197799
6,66,0,60,0,30594.4364848486
6,67,0,60,0,25147.4492456491
6,68,0,60,0,19967.829435515
6,69,0,60,0,15651.2151864574
6,70,0,60,0,12096.3951028693
6,71,0,60,0,8923.0843103029
6,72,0,60,0,6047.1479249689
6,73,0,60,0,3724.0533225237
6,74,0,60,0,1883.1122081158
6,75,0,60,0,662.4814672781
7,52,1,60,26118.864392409,9669.2616721971
7,53,0,60,0,8840.0469401259
7,54,1,60,21965.4181514327,770.7400691484
7,55,1,60,23216.5317827397,2614.2091086316
7,56,1,60,22242.4836234448,3689.3288348957
7,57,1,60,22589.6235343917,3963.7894845801
7,58,0,60,0,4389.0352351867
7,59,0,60,0,1688.6018795829
7,60,0,60,0,187.4338921806
7,61,0,60,0,252.7518040898
7,62,1,60,28755.2920837312,253.795902834
7,63,0,60,0,6025.2643102172
7,64,0,60,0,1821.2725687206
7,65,0,60,0,278.868513308
7,66,0,60,0,316.6994058101
7,67,0,60,0,317.3041279548
7,68,0,60,0,317.3137943589
7,69,0,60,0,317.3139488777
7,70,0,60,0,317.3139513409
7,71,0,60,0,317.3139513843
7,72,0,60,0,317.3139513833
7,73,0,60,0,317.3139513862
7,74,0,60,0,317.313951385
7,75,0,60,0,317.3139513826
8,52,1,60,26009.8673983655,6359.1587964495
8,53,1,60,24018.6012398167,5645.3232488521
8,54,1,60,26558.8376072131,5987.5916693067
8,55,1,60,24970.3334750856,6117.2151215318
8,56,1,60,23690.6565823683,6186.1384450982
8,57,1,60,24881.380170704,6243.7059036322
8,58,1,60,23843.6378616664,6256.6548919319
8,59,0,60,0,6290.5636253351
8,60,0,60,0,260.9956816716
8,61,0,60,0,253.9276801959
8,62,0,60,0,253.8146990665
8,63,0,60,0,253.8128930796
8,64,0,60,0,253.8128642106
8,65,0,60,0,253.8128637452
8,66,0,60,0,317.1702094935
8,67,0,60,0,318.1829688356
8,68,0,60,0,318.1991576702
8,69,0,60,0,318.1994164492
8,70,0,60,0,318.1994205799
8,71,0,60,0,318.19942065
8,72,0,60,0,318.1994206467
8,73,0,60,0,318.1994206464
8,74,0,60,0,318.1994206466
8,75,0,60,0,318.199420647
9,52,1,60,20661.3272861281,1870.4391565654
9,53,0,60,0,4811.1438582433
9,54,1,60,18450.092795157,237.3473396376
9,55,1,60,20342.2397997135,4151.5136177279
9,56,0,60,0,5995.7939250855
9,57,1,60,20531.4303166903,916.6324300781
9,58,1,60,21275.1288389023,2166.5081571499
9,59,1,60,21065.8446569179,4927.921712829
9,60,0,60,0,5038.1885082497
9,61,0,60,0,3264.7549653981
9,62,0,60,0,1744.9215077197
9,63,0,60,0,683.0761325579
9,64,0,60,0,285.4057531061
9,65,0,60,0,254.317872168
9,66,0,60,0,305.525347654
9,67,0,60,0,306.3438928165
9,68,0,60,0,306.3569771567
9,69,0,60,0,306.3571863092
9,70,0,60,0,306.3571896518
9,71,0,60,0,306.3571897024
9,72,0,60,0,306.3571897052
9,73,0,60,0,306.3571897063
9,74,0,60,0,306.3571897028
9,75,0,60,0,306.3571897008
10,52,1,60,20097.1214308101,239.113089028
10,53,1,60,19483.5557286841,1732.3080061382
10,54,1,60,17944.0860766658,3044.6657439753
10,55,0,60,0,5867.08461397
10,56,1,60,20213.9914317648,554.8695377319
10,57,1,60,20294.5253551912,1766.5653418724
10,58,1,60,22159.9014316995,3379.3499523991
10,59,1,60,20316.6381694195,2570.8936417624
10,60,0,60,0,1870.5445385518
10,61,0,60,0,279.6561196541
10,62,0,60,0,254.2259649883
10,63,0,60,0,253.8194671101
10,64,0,60,0,253.8129692922
